case_id,gate_opened,dice,jaccard,sensitivity,precision,specificity,boundary_f1_at_2_px,assd_px,hd95_px,lesion_recall_at_iou_0_10,lesion_precision_at_iou_0_10,lesion_f1_at_iou_0_10,true_positive_pixels,false_positive_pixels,false_negative_pixels
TCGA_FG_6691_20020405_26,0,0.9126416739319965,0.8393200769724182,0.9969523809523809,0.8414790996784566,0.9921635326095596,0.6795580110497239,2.218273073717023,9.0,1.0,1.0,1.0,2617,493,8
TCGA_FG_6692_20020606_19,0,0.9085853319429962,0.8324840764331211,0.839974293059126,0.9894019682059046,0.999781181619256,0.7095450705924943,1.4092062188446066,4.242640687119285,1.0,1.0,1.0,1307,14,249
TCGA_FG_7634_20000128_23,0,0.9518404410572402,0.9081064356435643,0.9203512072750079,0.9855607790463399,0.9993103116429018,0.9258053203747307,1.0756483678514808,2.23606797749979,0.5,1.0,0.6666666666666666,2935,43,254
TCGA_FG_7637_20000922_21,0,0.8788826349801959,0.783934548159167,0.7927792403159082,0.9859681945743686,0.9995228779999046,0.7345439706182412,2.48125568167479,17.19280889723326,1.0,1.0,1.0,2108,30,551
TCGA_FG_7643_20021104_26,0,0.9360902255639098,0.8798586572438163,0.9711388455538221,0.9034833091436865,0.9979300899554892,0.8849947020947103,0.8828351613349389,3.0,1.0,1.0,1.0,1245,133,37
TCGA_FG_8189_20030516_25,0,0.9315135866224026,0.8718066743383199,0.9648497198166073,0.9004040884240552,0.9931991559811719,0.7632888497515024,1.656753627329686,6.363839778884804,1.0,1.0,1.0,3788,419,138
TCGA_FG_A4MT_20020212_16,0,0.9563486798460926,0.9163488431222985,0.9274318064848173,0.9871268145713503,0.9992376317923763,0.8810331072995614,1.0715028907754867,2.8284271247461903,1.0,1.0,1.0,3604,47,282
TCGA_FG_A4MU_20030903_16,0,0.9535806512565346,0.9112796436740098,0.9547231681170387,0.9524408656265727,0.9934382974291319,0.8198251938688177,1.281505166001672,3.861942946412387,1.0,1.0,1.0,7570,378,359
TCGA_FG_A60K_20040224_47,0,0.7868852459016393,0.6486486486486487,0.6486486486486487,1.0,1.0,0.65,2.1045144576806942,5.370857542457414,1.0,1.0,1.0,408,0,221
TCGA_HT_7473_19970826_16,0,0.8708150152181264,0.7711889787361486,0.9533506108848575,0.8014316837846249,0.9787807230518508,0.45307513465898425,4.145550513788232,12.277610559537528,0.5,1.0,0.6666666666666666,5150,1276,252
TCGA_HT_7475_19970918_24,0,0.9224515322076298,0.8560650029019152,0.991930060524546,0.8620689655172413,0.9924554841597135,0.6942249397621577,1.781533875949609,7.0,1.0,1.0,1.0,2950,472,24
TCGA_HT_7602_19951103_9,0,0.8907249466950959,0.8029793368572802,0.8608964451313755,0.9226946438431806,0.9977985690698954,0.822745315002927,1.5645028513664452,6.0,1.0,1.0,1.0,1671,140,270
TCGA_HT_7605_19950916_27,0,0.9431113507684011,0.8923469387755102,0.9711271515824542,0.9166666666666666,0.997505295363615,0.8644683622403511,1.0306477486425238,4.0,1.0,1.0,1.0,1749,159,52
TCGA_HT_7608_19940304_19,0,0.8702629543696829,0.770323463973986,0.9638115631691648,0.7932675361297145,0.9807281569349062,0.7594422798417249,2.7603734649568157,19.849433241279208,1.0,1.0,1.0,4501,1173,169
TCGA_HT_7616_19940813_19,0,0.7448831587429492,0.593477144324602,0.6134855322537829,0.9479081214109926,0.9979439524680666,0.41677027495261193,5.871920868479749,15.620499351813308,1.0,1.0,1.0,2311,127,1456
TCGA_HT_7680_19970202_6,0,0.2770425269101818,0.16079475624743958,1.0,0.16079475624743958,0.9367268459174376,0.07580855592941015,21.3488365173202,37.3121651505225,1.0,1.0,1.0,785,4097,0
TCGA_HT_7684_19950816_17,0,0.9501471351912757,0.9050288540807915,0.9836917562724015,0.918814864412454,0.9919107345386616,0.7482267478384028,2.0273073743476577,9.848857801796104,1.0,1.0,1.0,5489,485,91
TCGA_HT_7686_19950629_13,0,0.9320158102766798,0.8726868985936344,0.9857859531772575,0.883808095952024,0.9950905865957177,0.771733604473818,1.5099643887320884,6.033105012119286,1.0,1.0,1.0,2358,310,34
TCGA_HT_7690_19960312_16,0,0.9709397960302665,0.9435208866155158,0.9906019243678675,0.9520430107526882,0.9963482732081157,0.9131247662968964,0.8917393045653702,4.067708094089714,1.0,1.0,1.0,4427,223,42
TCGA_HT_7692_19960724_18,0,0.8306010928961749,0.7102803738317757,0.7161366313309776,0.9886178861788618,0.9998917866031815,0.7650109714741673,1.6705546437522245,6.0,1.0,1.0,1.0,608,7,241
TCGA_HT_7693_19950520_14,0,0.9718032786885246,0.9451530612244898,0.9570552147239264,0.987012987012987,0.9993753903810119,0.979248209142604,0.6805380949209856,2.0,1.0,1.0,1.0,2964,39,133
TCGA_HT_7694_19950404_14,0,0.974502487562189,0.9502728926622195,0.9776945874278584,0.971331163799783,0.9968710359408034,0.9234380916319576,0.7786514302388827,4.123105625617661,0.3333333333333333,1.0,0.5,6268,185,143
TCGA_HT_7855_19951020_11,0,0.9477512640823206,0.9006912830888552,0.9481718139865105,0.947331087072176,0.9950419017728958,0.7434299647791927,1.6486613339202998,8.48528137423857,1.0,1.0,1.0,5342,297,292
TCGA_HT_7856_19950831_20,0,0.9592321915998944,0.92165820642978,0.9846348517715112,0.935107296137339,0.9937004199720019,0.8556359622224947,1.0008078188485712,5.0,0.3333333333333333,1.0,0.5,5447,378,85
TCGA_HT_7860_19960513_15,0,0.9250985545335085,0.8606356968215159,0.9174630755864466,0.9328621908127208,0.9988196008387047,0.8550092363321936,1.026876007822153,5.0,1.0,1.0,1.0,1056,76,95
TCGA_HT_7874_19950902_10,0,0.929159802306425,0.8676923076923077,0.9484304932735426,0.9106566200215285,0.9960388164174355,0.8279950521857596,1.300727901923274,5.0,1.0,1.0,1.0,2538,249,138
TCGA_HT_7877_19980917_23,0,0.8997744118594908,0.817809021675454,0.9344042838018741,0.867619639527657,0.9966740576496674,0.6985211806987569,1.680589729781767,5.719505122917601,1.0,1.0,1.0,1396,213,98
TCGA_HT_7879_19981009_13,0,0.8764422068386826,0.7800597460791635,0.9573785517873511,0.8081237911025145,0.9921709757868485,0.7164062838101009,2.3235012285155863,11.180339887498949,1.0,1.0,1.0,2089,496,93
TCGA_HT_7881_19981015_31,0,0.5279041916167665,0.3586072242108689,0.9848078641644326,0.3606020942408377,0.969666392411941,0.36506024096385536,11.0279150925574,32.0,1.0,1.0,1.0,1102,1954,17
TCGA_HT_7882_19970125_19,0,0.8078103207810321,0.6775854000935891,0.7538721853442666,0.8700615893044915,0.9850483121013603,0.5228059151449278,7.538823129246295,43.02556100360685,0.5,1.0,0.6666666666666666,5792,865,1891
TCGA_HT_7884_19980913_9,0,0.9474041398031897,0.9000644745325597,0.9782761037140855,0.9184210526315789,0.9980657941942629,0.9573642296524164,0.6797337057877562,2.23606797749979,1.0,1.0,1.0,1396,124,31
TCGA_HT_8018_19970411_9,0,0.9196316450397656,0.8512204571871368,0.9577157802964255,0.8844605475040258,0.9954618766009931,0.7392746452068947,2.138747060863364,12.12016156274541,1.0,1.0,1.0,2197,287,97
TCGA_HT_8105_19980826_21,0,0.9619500594530321,0.9266895761741123,0.9800121138703816,0.9445417396380619,0.9935518903142605,0.7955254662401473,1.4717984489042968,9.433981132056603,1.0,1.0,1.0,6472,380,132
